images_seen,value
0,4.622829914093018
256,4.618833065032959
512,4.59929895401001
768,4.583128929138184
1024,4.558996677398682
1280,4.521077632904053
1536,4.404435634613037
1792,4.282049179077148
2048,4.540919780731201
2304,4.4445576667785645
2560,4.5614752769470215
2816,4.568362712860107
3072,4.585604667663574
3328,4.564424991607666
3584,4.588888168334961
3840,4.525724411010742
4096,4.572696685791016
4352,4.467329978942871
4608,4.480657577514648
4864,4.517563819885254
5120,4.420993804931641
5376,4.431918144226074
5632,4.271382808685303
5888,4.498323917388916
6144,4.383224964141846
6400,4.350156784057617
6656,4.369139194488525
6912,4.25993537902832
7168,4.233512878417969
7315,4.333155632019043
7571,4.380220890045166
7827,4.163409233093262
8083,4.25594425201416
8339,4.104462146759033
8595,4.169436931610107
8851,4.265169143676758
9107,4.176419258117676
9363,4.061928749084473
9619,4.312568664550781
9875,4.275941848754883
10131,4.288717269897461
10387,4.176459312438965
10643,4.276520252227783
10899,4.287217617034912
11155,4.2295026779174805
11411,4.194090366363525
11667,4.3241658210754395
11923,4.311652660369873
12179,4.184135437011719
12435,4.174277305603027
12691,4.28577184677124
12947,4.234212398529053
13203,4.260958194732666
13459,4.102882385253906
13715,4.236832618713379
13971,4.158839702606201
14227,4.284885406494141
14483,4.240952491760254
14630,4.251402378082275
14886,4.2584686279296875
15142,4.231164455413818
15398,4.254894256591797
15654,4.130300521850586
15910,4.328110218048096
16166,4.264550685882568
16422,4.147175312042236
16678,4.285284519195557
16934,4.129021167755127
17190,4.202128887176514
17446,4.130428314208984
17702,4.131357669830322
17958,4.006165027618408
18214,4.168811321258545
18470,4.110254287719727
18726,4.100999355316162
18982,4.27018404006958
19238,4.202913761138916
19494,4.123434066772461
19750,4.150263786315918
20006,4.088334083557129
20262,4.132092475891113
20518,3.927743673324585
20774,3.8515055179595947
21030,4.144829750061035
21286,4.013494491577148
21542,4.022777080535889
21798,4.0733184814453125
21945,3.8970584869384766
22201,3.8684749603271484
22457,3.8740882873535156
22713,3.9244117736816406
22969,3.7596054077148438
23225,3.658966302871704
23481,4.009197235107422
23737,3.676119089126587
23993,3.787337303161621
24249,3.709906578063965
24505,3.499558925628662
24761,3.922908306121826
25017,4.0057525634765625
25273,4.107569694519043
25529,3.574284076690674
25785,3.7040698528289795
26041,3.932929754257202
26297,3.788839817047119
26553,3.7474894523620605
26809,3.964508056640625
27065,3.6186649799346924
27321,3.61063814163208
27577,3.5361106395721436
27833,3.7365803718566895
28089,3.536667585372925
28345,3.604957342147827
28601,3.211256504058838
28857,3.303709030151367
29113,3.3920438289642334
29260,3.5606322288513184
29516,3.1892378330230713
29772,3.4716360569000244
30028,3.308562994003296
30284,3.379272222518921
30540,3.4123594760894775
30796,3.3786978721618652
31052,3.405017375946045
31308,3.250304937362671
31564,3.358090877532959
31820,3.4493730068206787
32076,3.2138187885284424
32332,3.2001733779907227
32588,3.0874650478363037
32844,3.1871414184570312
33100,3.4463918209075928
33356,3.3460335731506348
33612,3.255230188369751
33868,3.2056493759155273
34124,3.3479902744293213
34380,3.1120870113372803
34636,3.0434563159942627
34892,3.32822585105896
35148,2.9792568683624268
35404,3.2586042881011963
35660,3.0525317192077637
35916,3.188142776489258
36172,3.1491124629974365
36428,3.086448907852173
36575,3.1165332794189453
36831,2.9578263759613037
37087,2.8943276405334473
37343,2.876673698425293
37599,2.9113082885742188
37855,2.826777219772339
38111,2.9217731952667236
38367,3.205113649368286
38623,3.02229642868042
38879,2.947899341583252
39135,2.7978763580322266
39391,2.989114999771118
39647,2.7167139053344727
39903,2.9468743801116943
40159,3.114734649658203
40415,2.6084835529327393
40671,2.9557621479034424
40927,2.9372756481170654
41183,2.61698055267334
41439,2.8150863647460938
41695,3.0947093963623047
41951,2.8803203105926514
42207,2.824657440185547
42463,2.789210796356201
42719,2.813298225402832
42975,2.8787646293640137
43231,2.9330101013183594
43487,2.8890621662139893
43743,3.014600992202759
43890,2.6167361736297607
44146,2.630361318588257
44402,2.75758957862854
44658,2.6133594512939453
44914,2.669114828109741
45170,2.540067195892334
45426,2.6063544750213623
45682,2.7104241847991943
45938,2.5686357021331787
46194,2.6017847061157227
46450,2.5741138458251953
46706,2.826037883758545
46962,2.559774398803711
47218,2.495292901992798
47474,2.444082021713257
47730,2.7529542446136475
47986,2.5182838439941406
48242,2.690185785293579
48498,2.4985997676849365
48754,2.6393213272094727
49010,2.533846139907837
49266,2.5043489933013916
49522,2.5079352855682373
49778,2.6464641094207764
50034,2.550812244415283
50290,2.556519031524658
50546,2.285163164138794
50802,2.6805367469787598
51058,3.1321518421173096
51205,2.5096700191497803
51461,2.5113372802734375
51717,2.4526960849761963
51973,2.2397308349609375
52229,2.1896424293518066
52485,2.3114476203918457
52741,2.505523443222046
52997,2.196338415145874
53253,2.5787644386291504
53509,2.407233953475952
53765,2.3549749851226807
54021,2.5617380142211914
54277,2.5677902698516846
54533,2.303571939468384
54789,2.614346981048584
55045,2.4054198265075684
55301,2.3275890350341797
55557,2.6459884643554688
55813,2.578916072845459
56069,2.4907052516937256
56325,2.5046918392181396
56581,2.3576226234436035
56837,2.340930700302124
57093,2.365187406539917
57349,2.314260959625244
57605,2.302523136138916
57861,2.6622745990753174
58117,2.491629123687744
58373,2.4673984050750732
58520,2.110041618347168
58776,2.174251079559326
59032,2.179560899734497
59288,2.1425232887268066
59544,2.000058889389038
59800,1.9833672046661377
60056,2.139244556427002
60312,2.4159700870513916
60568,2.100806474685669
60824,2.295816421508789
61080,2.3650312423706055
61336,2.1270623207092285
61592,2.313086986541748
61848,2.0914430618286133
62104,2.1444966793060303
62360,2.2470717430114746
62616,2.199423313140869
62872,1.9120267629623413
63128,2.287268877029419
63384,2.225363254547119
63640,2.082986831665039
63896,2.031740427017212
64152,1.9031245708465576
64408,2.0889763832092285
64664,2.0815114974975586
64920,2.1912455558776855
65176,1.9422014951705933
65432,2.2066283226013184
65688,2.311079978942871
65835,1.7520831823349
66091,1.9504677057266235
66347,1.7646825313568115
66603,1.8957648277282715
66859,1.8872568607330322
67115,1.951169729232788
67371,1.649949550628662
67627,1.825798511505127
67883,1.7029606103897095
68139,1.755260705947876
68395,1.8336375951766968
68651,1.8689143657684326
68907,2.0023293495178223
69163,1.9801061153411865
69419,2.0829319953918457
69675,1.966937780380249
69931,1.7455626726150513
70187,1.8909856081008911
70443,1.8593968152999878
70699,1.7663588523864746
70955,1.602332353591919
71211,1.8773918151855469
71467,1.7440475225448608
71723,1.9114404916763306
71979,1.7958029508590698
72235,2.0658822059631348
72491,1.7545918226242065
72747,1.7627642154693604
73003,1.5983973741531372
73150,1.4147289991378784
73406,1.625914216041565
73662,1.4481440782546997
73918,2.137904644012451
74174,2.081345796585083
74430,2.039983034133911
74686,1.9493417739868164
74942,2.091414213180542
75198,2.13815975189209
75454,1.9646366834640503
75710,1.768478274345398
75966,1.885347604751587
76222,1.6564099788665771
76478,1.6787859201431274
76734,1.6818257570266724
76990,1.754218578338623
77246,2.0014116764068604
77502,1.8084626197814941
77758,1.8052682876586914
78014,1.5800848007202148
78270,1.61658775806427
78526,1.841650366783142
78782,1.8739036321640015
79038,1.7879045009613037
79294,1.5194032192230225
79550,1.6841206550598145
79806,1.7213293313980103
80062,1.9663457870483398
80318,1.418495535850525
80465,1.3757537603378296
80721,1.38427734375
80977,1.4736135005950928
81233,1.3855280876159668
81489,1.3895273208618164
81745,1.398838758468628
82001,1.3578742742538452
82257,1.3628323078155518
82513,1.395713448524475
82769,1.295466661453247
83025,1.3189564943313599
83281,1.3010555505752563
83537,1.32498037815094
83793,1.3557320833206177
84049,1.2074469327926636
84305,1.0350196361541748
84561,1.276409387588501
84817,1.3316446542739868
85073,1.544602632522583
85329,1.4840919971466064
85585,1.3201483488082886
85841,1.2887405157089233
86097,1.3823599815368652
86353,1.3274725675582886
86609,1.3594361543655396
86865,1.5166614055633545
87121,1.410983681678772
87377,1.4564863443374634
87633,1.2368520498275757
