images_seen,value
0,4.28057861328125
256,4.146810531616211
512,4.268491268157959
768,4.345038414001465
1024,4.268423557281494
1280,4.267941474914551
1536,4.303951740264893
1792,4.238614559173584
2048,4.276525497436523
2304,4.167388439178467
2560,4.2598137855529785
2816,4.279423713684082
3072,4.198429107666016
3328,4.236493110656738
3584,4.221309661865234
3840,4.333719730377197
4096,4.143263339996338
4352,4.134695053100586
4608,4.252928256988525
4864,4.333802223205566
5120,4.308953285217285
5376,4.183498382568359
5632,4.323184490203857
5888,4.29862642288208
6144,4.2067155838012695
6400,4.350667953491211
6656,4.1413984298706055
6912,4.333950042724609
7168,4.516754150390625
7315,4.458914756774902
7571,4.402200698852539
7827,4.32073974609375
8083,4.234561443328857
8339,4.348413944244385
8595,4.270813941955566
8851,4.165201187133789
9107,4.213679790496826
9363,4.264881134033203
9619,4.188173294067383
9875,4.074625492095947
10131,4.234014511108398
10387,4.424858570098877
10643,4.303934574127197
10899,4.25135612487793
11155,4.183487892150879
11411,4.0361127853393555
11667,4.179819107055664
11923,4.267355918884277
12179,4.158009052276611
12435,4.156970500946045
12691,4.084955215454102
12947,4.03128719329834
13203,4.238531589508057
13459,4.456814765930176
13715,4.422408580780029
13971,4.509582042694092
14227,4.3339128494262695
14483,4.332330703735352
14630,4.293348789215088
14886,4.221667289733887
15142,4.174758434295654
15398,4.238676071166992
15654,4.1972479820251465
15910,4.027387619018555
16166,4.213353157043457
16422,4.2168755531311035
16678,4.148641109466553
16934,4.275391578674316
17190,4.180570602416992
17446,4.164591312408447
17702,4.170953273773193
17958,4.23703145980835
18214,4.17387580871582
18470,4.274956703186035
18726,4.165075302124023
18982,4.3777546882629395
19238,4.500760078430176
19494,4.384259223937988
19750,4.3130693435668945
20006,4.260331630706787
20262,4.172527313232422
20518,4.08065128326416
20774,3.9583778381347656
21030,3.9067232608795166
21286,3.990980386734009
21542,3.979804515838623
21798,3.835536003112793
21945,4.5363593101501465
22201,4.43613338470459
22457,4.404821872711182
22713,4.34779691696167
22969,4.227845191955566
23225,4.241316795349121
23481,4.212985992431641
23737,4.243167877197266
23993,4.283729076385498
24249,4.258106708526611
24505,4.2570648193359375
24761,4.179802894592285
25017,4.260386943817139
25273,4.245800495147705
25529,4.162639617919922
25785,4.30661678314209
26041,4.2478485107421875
26297,4.134998321533203
26553,4.326152801513672
26809,4.29791259765625
27065,4.322844982147217
27321,4.2075419425964355
27577,4.255588531494141
27833,4.265610218048096
28089,4.1685709953308105
28345,4.07325553894043
28601,4.249432563781738
28857,4.196592330932617
29113,4.269647121429443
29260,4.248265743255615
29516,4.089628219604492
29772,4.3576555252075195
30028,4.256464958190918
30284,4.187990665435791
30540,4.179286956787109
30796,4.283813953399658
31052,4.286983966827393
31308,4.233532905578613
31564,4.126762866973877
31820,4.209011554718018
32076,4.249337673187256
32332,4.19379997253418
32588,4.245214939117432
32844,4.133195877075195
33100,4.304624080657959
33356,4.280322551727295
33612,4.162795066833496
33868,4.181473255157471
34124,4.333743095397949
34380,4.273645877838135
34636,4.012479305267334
34892,4.347502708435059
35148,4.4612555503845215
35404,4.358882904052734
35660,4.27253532409668
35916,4.149703025817871
36172,4.151584625244141
36428,4.319329261779785
36575,4.200164318084717
36831,4.2038798332214355
37087,4.1741743087768555
37343,4.100771903991699
37599,4.181117057800293
37855,4.168455123901367
38111,4.083568572998047
38367,4.456663131713867
38623,4.370732307434082
38879,4.297530651092529
39135,4.194842338562012
39391,4.185496807098389
39647,4.163706302642822
39903,4.027300834655762
